radius_fraction,radius_cm,temperature_k,density_g_cm3,hydrogen_fraction,metal_fraction,opacity_cm2_g,luminosity_erg_s
2.7027882100e-01,1.8810806200e+10,7.4635415300e+06,1.6751997000e+01,7.0079017600e-01,1.9935732200e-02,2.9437019000e+00,3.8309688900e+33
2.7191917600e-01,1.8924971300e+10,7.4251060200e+06,1.6453897900e+01,7.0099188200e-01,1.9931617500e-02,2.9639394000e+00,3.8324934200e+33
2.7355810900e-01,1.9039037400e+10,7.3869838200e+06,1.6160919100e+01,7.0118727800e-01,1.9927541100e-02,2.9843286800e+00,3.8339158200e+33
2.7519569200e-01,1.9153009500e+10,7.3491706800e+06,1.5872959900e+01,7.0137786400e-01,1.9923505300e-02,3.0048710100e+00,3.8352381000e+33
2.7683199700e-01,1.9266892700e+10,7.3116624300e+06,1.5589924000e+01,7.0156498400e-01,1.9919512700e-02,3.0255677300e+00,3.8364628900e+33
2.7846709800e-01,1.9380692100e+10,7.2744549900e+06,1.5311721300e+01,7.0174966100e-01,1.9915565500e-02,3.0464201500e+00,3.8375934800e+33
2.8010106700e-01,1.9494412800e+10,7.2375443600e+06,1.5038267200e+01,7.0193260200e-01,1.9911662000e-02,3.0674292800e+00,3.8386339800e+33
2.8173397800e-01,1.9608059700e+10,7.2009265900e+06,1.4769482300e+01,7.0211420200e-01,1.9907801000e-02,3.0885962100e+00,3.8395897700e+33
2.8336590100e-01,1.9721637900e+10,7.1645978200e+06,1.4505290900e+01,7.0229467900e-01,1.9903994900e-02,3.1099233600e+00,3.8404665600e+33
2.8499690700e-01,1.9835152400e+10,7.1285541700e+06,1.4245619100e+01,7.0247417900e-01,1.9900249100e-02,3.1314125900e+00,3.8412698700e+33
2.8662706700e-01,1.9948607800e+10,7.0927918900e+06,1.3990395600e+01,7.0265271400e-01,1.9896490900e-02,3.1530583200e+00,3.8420054100e+33
2.8825644700e-01,2.0062009100e+10,7.0573073600e+06,1.3739550900e+01,7.0283018300e-01,1.9892602300e-02,3.1748501500e+00,3.8426789500e+33
2.8988511700e-01,2.0175360900e+10,7.0220970400e+06,1.3493017700e+01,7.0300640200e-01,1.9888653700e-02,3.1967956900e+00,3.8432960900e+33
2.9151314100e-01,2.0288667800e+10,6.9871572800e+06,1.3250731100e+01,7.0318115100e-01,1.9884804200e-02,3.2189119700e+00,3.8438621800e+33
2.9314058300e-01,2.0401934100e+10,6.9524843800e+06,1.3012631900e+01,7.0335420100e-01,1.9881120900e-02,3.2412081500e+00,3.8443822300e+33
2.9476750600e-01,2.0515164400e+10,6.9180746500e+06,1.2778656000e+01,7.0352531800e-01,1.9877561200e-02,3.2636821100e+00,3.8448608400e+33
2.9639397100e-01,2.0628362700e+10,6.8839244800e+06,1.2548738500e+01,7.0369426900e-01,1.9874075300e-02,3.2863307100e+00,3.8453022100e+33
2.9802003700e-01,2.0741533300e+10,6.8500303600e+06,1.2322815400e+01,7.0386083600e-01,1.9870635800e-02,3.3091528700e+00,3.8457101100e+33
2.9964576200e-01,2.0854680200e+10,6.8163888500e+06,1.2100823400e+01,7.0402481900e-01,1.9867225100e-02,3.3321484700e+00,3.8460879100e+33
3.0127120500e-01,2.0967807300e+10,6.7829965500e+06,1.1882699700e+01,7.0418604500e-01,1.9863859500e-02,3.3553208800e+00,3.8464385900e+33
3.0289642000e-01,2.1080918800e+10,6.7498501300e+06,1.1668382300e+01,7.0434437000e-01,1.9860509300e-02,3.3786687200e+00,3.8467647700e+33
3.0452146500e-01,2.1194018200e+10,6.7169463200e+06,1.1457809800e+01,7.0449968000e-01,1.9857157700e-02,3.4021918100e+00,3.8470687800e+33
3.0614639100e-01,2.1307109500e+10,6.6842818900e+06,1.1250921400e+01,7.0465189100e-01,1.9853863200e-02,3.4258981500e+00,3.8473526500e+33
3.0777125400e-01,2.1420196400e+10,6.6518536300e+06,1.1047657000e+01,7.0480094700e-01,1.9850626400e-02,3.4497897300e+00,3.8476181700e+33
3.0939610400e-01,2.1533282300e+10,6.6196583800e+06,1.0847957100e+01,7.0494682000e-01,1.9847432500e-02,3.4738668400e+00,3.8478669000e+33
3.1102099400e-01,2.1646371100e+10,6.5876930600e+06,1.0651763100e+01,7.0508949800e-01,1.9844273100e-02,3.4981304100e+00,3.8481002300e+33
3.1264597400e-01,2.1759466000e+10,6.5559546400e+06,1.0459017000e+01,7.0522898900e-01,1.9841135000e-02,3.5225808300e+00,3.8483193900e+33
3.1427109300e-01,2.1872570700e+10,6.5244401500e+06,1.0269661500e+01,7.0536531600e-01,1.9838011700e-02,3.5472191500e+00,3.8485254500e+33
3.1589640000e-01,2.1985688500e+10,6.4931466900e+06,1.0083640400e+01,7.0549851400e-01,1.9834915800e-02,3.5720486500e+00,3.8487193700e+33
3.1752194400e-01,2.2098822700e+10,6.4620713500e+06,9.9008997400e+00,7.0562863300e-01,1.9831860000e-02,3.5970729500e+00,3.8489020200e+33
3.1914777000e-01,2.2211976600e+10,6.4312113100e+06,9.7213893500e+00,7.0575573800e-01,1.9828840100e-02,3.6222942100e+00,3.8490741700e+33
3.2077392500e-01,2.2325153400e+10,6.4005637700e+06,9.5450543000e+00,7.0587990800e-01,1.9825847200e-02,3.6477132600e+00,3.8492365100e+33
3.2240045300e-01,2.2438356200e+10,6.3701260100e+06,9.3718403300e+00,7.0600122300e-01,1.9822875700e-02,3.6733313000e+00,3.8493896700e+33
3.2402739900e-01,2.2551588000e+10,6.3398953400e+06,9.2016940400e+00,7.0611976900e-01,1.9819923100e-02,3.6991498500e+00,3.8495342300e+33
3.2565480600e-01,2.2664851900e+10,6.3098691300e+06,9.0345629200e+00,7.0623563600e-01,1.9816971700e-02,3.7251685300e+00,3.8496707200e+33
3.2728271800e-01,2.2778151000e+10,6.2800442700e+06,8.8703958200e+00,7.0634895900e-01,1.9814004500e-02,3.7515289500e+00,3.8497996000e+33
3.2891117700e-01,2.2891488100e+10,6.2504176500e+06,8.7091425000e+00,7.0645986000e-01,1.9811036100e-02,3.7780953100e+00,3.8499213400e+33
3.3054022600e-01,2.3004866300e+10,6.2209868100e+06,8.5507531300e+00,7.0656841200e-01,1.9808082100e-02,3.8048701200e+00,3.8500363300e+33
3.3216990400e-01,2.3118288300e+10,6.1917493000e+06,8.3951787400e+00,7.0667468200e-01,1.9805143600e-02,3.8318551000e+00,3.8501449600e+33
3.3380025400e-01,2.3231757000e+10,6.1627027100e+06,8.2423711700e+00,7.0677873800e-01,1.9802217500e-02,3.8590514500e+00,3.8502475800e+33
3.3543131600e-01,2.3345275300e+10,6.1338446800e+06,8.0922830400e+00,7.0688064600e-01,1.9799307100e-02,3.8864611600e+00,3.8503445200e+33
3.3706312900e-01,2.3458845900e+10,6.1051729000e+06,7.9448677600e+00,7.0698047300e-01,1.9796416500e-02,3.9140864100e+00,3.8504360900e+33
3.3869573200e-01,2.3572471400e+10,6.0766851000e+06,7.8000795200e+00,7.0707828600e-01,1.9793535900e-02,3.9419275300e+00,3.8505225900e+33
3.4032916500e-01,2.3686154700e+10,6.0483790400e+06,7.6578732300e+00,7.0717414600e-01,1.9790659600e-02,3.9699853400e+00,3.8506042700e+33
3.4196346400e-01,2.3799898300e+10,6.0202525300e+06,7.5182046100e+00,7.0726811500e-01,1.9787803600e-02,3.9982636200e+00,3.8506814100e+33
3.4359866800e-01,2.3913704900e+10,5.9923034000e+06,7.3810329900e+00,7.0736025900e-01,1.9784981900e-02,4.0267665600e+00,3.8507542300e+33
3.4523481300e-01,2.4027576900e+10,5.9645295200e+06,7.2463161000e+00,7.0745064800e-01,1.9782186000e-02,4.0554949600e+00,3.8508229800e+33
3.4687193400e-01,2.4141516900e+10,5.9369287800e+06,7.1140107200e+00,7.0753934900e-01,1.9779404800e-02,4.0844488700e+00,3.8508878500e+33
3.4851006700e-01,2.4255527400e+10,5.9094991300e+06,6.9840748400e+00,7.0762642600e-01,1.9776650500e-02,4.1136316400e+00,3.8509490600e+33
3.5014924800e-01,2.4369610700e+10,5.8822385400e+06,6.8564672000e+00,7.0771194600e-01,1.9773942300e-02,4.1430477300e+00,3.8510068000e+33
3.5178951000e-01,2.4483769300e+10,5.8551449900e+06,6.7311472900e+00,7.0779596900e-01,1.9771266000e-02,4.1726969500e+00,3.8510612400e+33
3.5343088700e-01,2.4598005500e+10,5.8282166000e+06,6.6080752500e+00,7.0787854800e-01,1.9768471600e-02,4.2025592800e+00,3.8511125600e+33
3.5507341500e-01,2.4712321800e+10,5.8014515800e+06,6.4872119000e+00,7.0795972200e-01,1.9765527400e-02,4.2326308800e+00,3.8511609200e+33
3.5671712500e-01,2.4826720400e+10,5.7748481500e+06,6.3685187600e+00,7.0803953100e-01,1.9762557500e-02,4.2629307900e+00,3.8512064800e+33
3.5836205200e-01,2.4941203600e+10,5.7484044500e+06,6.2519580600e+00,7.0811802800e-01,1.9759662400e-02,4.2934754400e+00,3.8512493800e+33
3.6000822600e-01,2.5055773700e+10,5.7221186000e+06,6.1374927400e+00,7.0819526600e-01,1.9756863800e-02,4.3242701800e+00,3.8512897700e+33
3.6165568200e-01,2.5170433000e+10,5.6959887500e+06,6.0250863800e+00,7.0827129900e-01,1.9754144900e-02,4.3553147300e+00,3.8513277600e+33
3.6330444900e-01,2.5285183500e+10,5.6700130900e+06,5.9147031500e+00,7.0834617700e-01,1.9751480000e-02,4.3866072900e+00,3.8513634900e+33
3.6495456000e-01,2.5400027600e+10,5.6441898600e+06,5.8063078400e+00,7.0841994100e-01,1.9748838900e-02,4.4181451700e+00,3.8513970700e+33
3.6660604500e-01,2.5514967300e+10,5.6185173500e+06,5.6998658200e+00,7.0849263300e-01,1.9746207800e-02,4.4499280900e+00,3.8514286200e+33
3.6825893500e-01,2.5630004700e+10,5.5929938900e+06,5.5953435500e+00,7.0856429000e-01,1.9743597200e-02,4.4819595600e+00,3.8514582500e+33
3.6991325800e-01,2.5745141900e+10,5.5676178100e+06,5.4927102600e+00,7.0863495900e-01,1.9741013700e-02,4.5142433700e+00,3.8514860400e+33
3.7156904300e-01,2.5860380900e+10,5.5423874800e+06,5.3919329000e+00,7.0870469400e-01,1.9738454000e-02,4.5467809100e+00,3.8515121100e+33
3.7322631900e-01,2.5975723600e+10,5.5173013800e+06,5.2929784700e+00,7.0877354100e-01,1.9735910500e-02,4.5795342900e+00,3.8515365400e+33
3.7488511300e-01,2.6091172000e+10,5.4923580800e+06,5.1958143700e+00,7.0884153000e-01,1.9733378400e-02,4.6125265100e+00,3.8515594100e+33
3.7654545300e-01,2.6206728000e+10,5.4675560800e+06,5.1004083000e+00,7.0890869400e-01,1.9730859300e-02,4.6457773600e+00,3.8515808100e+33
3.7820736600e-01,2.6322393500e+10,5.4428938200e+06,5.0067288000e+00,7.0897506900e-01,1.9728350200e-02,4.6792881600e+00,3.8516008200e+33
3.7987088000e-01,2.6438170400e+10,5.4183698000e+06,4.9147453800e+00,7.0904068500e-01,1.9725848100e-02,4.7130603200e+00,3.8516195100e+33
3.8153602200e-01,2.6554060500e+10,5.3939825200e+06,4.8244280900e+00,7.0910557500e-01,1.9723358200e-02,4.7470966400e+00,3.8516369500e+33
3.8320281800e-01,2.6670065800e+10,5.3697305100e+06,4.7357475300e+00,7.0916976800e-01,1.9720882100e-02,4.7813993900e+00,3.8516532100e+33
3.8487129400e-01,2.6786188100e+10,5.3456123200e+06,4.6486748100e+00,7.0923329300e-01,1.9718410200e-02,4.8159688900e+00,3.8516683500e+33
3.8654147600e-01,2.6902429000e+10,5.3216265400e+06,4.5631815500e+00,7.0929617400e-01,1.9715939100e-02,4.8508064500e+00,3.8516824200e+33
3.8821339000e-01,2.7018790600e+10,5.2977717500e+06,4.4792398600e+00,7.0935843600e-01,1.9713481000e-02,4.8859161700e+00,3.8516955000e+33
3.8988706100e-01,2.7135274300e+10,5.2740465600e+06,4.3968223500e+00,7.0942010500e-01,1.9711050600e-02,4.9213026500e+00,3.8517076200e+33
3.9156251400e-01,2.7251882100e+10,5.2504495900e+06,4.3159021100e+00,7.0948120400e-01,1.9708644800e-02,4.9569675000e+00,3.8517188400e+33
3.9323977200e-01,2.7368615600e+10,5.2269795100e+06,4.2364526900e+00,7.0954175100e-01,1.9706206300e-02,4.9929023900e+00,3.8517292200e+33
3.9491886100e-01,2.7485476400e+10,5.2036350200e+06,4.1584494600e+00,7.0960176500e-01,1.9703731800e-02,5.0291090200e+00,3.8517387900e+33
3.9659980200e-01,2.7602466200e+10,5.1804148400e+06,4.0818679200e+00,7.0966126800e-01,1.9701238500e-02,5.0655927400e+00,3.8517476000e+33
3.9828261800e-01,2.7719586500e+10,5.1573177000e+06,4.0066825300e+00,7.0972028700e-01,1.9698739300e-02,5.1023577100e+00,3.8517557000e+33
3.9996733100e-01,2.7836838800e+10,5.1343423300e+06,3.9328682300e+00,7.0977884800e-01,1.9696241200e-02,5.1394069800e+00,3.8517631100e+33
4.0165396300e-01,2.7954224600e+10,5.1114874800e+06,3.8604004400e+00,7.0983697700e-01,1.9693743800e-02,5.1767423900e+00,3.8517698900e+33
4.0334253600e-01,2.8071745500e+10,5.0887519200e+06,3.7892550100e+00,7.0989469700e-01,1.9691244000e-02,5.2143651600e+00,3.8517760500e+33
4.0503307000e-01,2.8189402900e+10,5.0661344500e+06,3.7194082500e+00,7.0995203000e-01,1.9688737400e-02,5.2522763000e+00,3.8517816500e+33
4.0672558600e-01,2.8307198300e+10,5.0436338600e+06,3.6508368800e+00,7.1000899700e-01,1.9686220400e-02,5.2904768600e+00,3.8517867000e+33
4.0842010500e-01,2.8425133100e+10,5.0212489900e+06,3.5835180500e+00,7.1006561800e-01,1.9683714800e-02,5.3289729600e+00,3.8517912500e+33
4.1011664800e-01,2.8543208700e+10,4.9989791000e+06,3.5174292600e+00,7.1012184700e-01,1.9681290000e-02,5.3675524300e+00,3.8517953100e+33
4.1181523500e-01,2.8661426600e+10,4.9768238000e+06,3.4525475500e+00,7.1017760900e-01,1.9678945100e-02,5.4062744800e+00,3.8517989200e+33
4.1351588600e-01,2.8779788100e+10,4.9547822800e+06,3.3888508800e+00,7.1023288900e-01,1.9676624000e-02,5.4452904300e+00,3.8518021000e+33
4.1521862100e-01,2.8898294700e+10,4.9328534200e+06,3.3263180700e+00,7.1028771200e-01,1.9674321800e-02,5.4846018700e+00,3.8518048700e+33
4.1692346000e-01,2.9016947700e+10,4.9110361300e+06,3.2649283100e+00,7.1034209900e-01,1.9672029900e-02,5.5242095900e+00,3.8518072700e+33
4.1863042200e-01,2.9135748500e+10,4.8893293400e+06,3.2046611800e+00,7.1039606800e-01,1.9669738600e-02,5.5641141600e+00,3.8518093000e+33
4.2033952700e-01,2.9254698400e+10,4.8677319800e+06,3.1454969000e+00,7.1044963400e-01,1.9667457100e-02,5.6043201700e+00,3.8518110000e+33
4.2205079300e-01,2.9373798700e+10,4.8462430000e+06,3.0874171900e+00,7.1050282100e-01,1.9665199000e-02,5.6448340500e+00,3.8518123800e+33
4.2376423800e-01,2.9493050700e+10,4.8248613300e+06,3.0304025500e+00,7.1055565200e-01,1.9662959800e-02,5.6856576000e+00,3.8518134700e+33
4.2547987800e-01,2.9612455400e+10,4.8035859300e+06,2.9744336600e+00,7.1060815200e-01,1.9660728100e-02,5.7267910000e+00,3.8518142600e+33
4.2719773100e-01,2.9732014200e+10,4.7824158000e+06,2.9194915700e+00,7.1066034300e-01,1.9658510600e-02,5.7682382400e+00,3.8518148000e+33
4.2891781400e-01,2.9851728100e+10,4.7613498800e+06,2.8655576800e+00,7.1071224400e-01,1.9656332200e-02,5.8100074400e+00,3.8518150900e+33
4.3064014300e-01,2.9971598400e+10,4.7403871700e+06,2.8126137400e+00,7.1076387700e-01,1.9654192900e-02,5.8521014500e+00,3.8518151400e+33
4.3236473400e-01,3.0091626100e+10,4.7195266600e+06,2.7606418500e+00,7.1081525900e-01,1.9652029200e-02,5.8945090700e+00,3.8518149700e+33
4.3409160400e-01,3.0211812500e+10,4.6987674200e+06,2.7096244000e+00,7.1086639600e-01,1.9649793100e-02,5.9372218300e+00,3.8518146000e+33
4.3582076900e-01,3.0332158500e+10,4.6781085600e+06,2.6595441200e+00,7.1091729300e-01,1.9647460300e-02,5.9802361500e+00,3.8518140400e+33
4.3755224300e-01,3.0452665300e+10,4.6575491900e+06,2.6103840500e+00,7.1096795200e-01,1.9645057000e-02,6.0235597200e+00,3.8518132900e+33
4.3928604300e-01,3.0573333900e+10,4.6370883800e+06,2.5621275400e+00,7.1101837600e-01,1.9642661300e-02,6.0672125500e+00,3.8518123800e+33
4.4102218300e-01,3.0694165300e+10,4.6167251900e+06,2.5147582800e+00,7.1106857900e-01,1.9640334400e-02,6.1112116600e+00,3.8518113000e+33
4.4276067700e-01,3.0815160700e+10,4.5964586000e+06,2.4682602700e+00,7.1111857600e-01,1.9638136000e-02,6.1555744000e+00,3.8518100800e+33
4.4450154100e-01,3.0936320900e+10,4.5762876200e+06,2.4226177800e+00,7.1116838300e-01,1.9636038200e-02,6.2002981100e+00,3.8518087200e+33
4.4624478700e-01,3.1057647000e+10,4.5562112900e+06,2.3778153800e+00,7.1121801000e-01,1.9633963600e-02,6.2453680300e+00,3.8518072400e+33
4.4799043000e-01,3.1179139900e+10,4.5362287000e+06,2.3338387800e+00,7.1126746100e-01,1.9631859500e-02,6.2907753700e+00,3.8518056300e+33
4.4973848200e-01,3.1300800400e+10,4.5163390000e+06,2.2906734200e+00,7.1131674500e-01,1.9629723400e-02,6.3365225500e+00,3.8518039100e+33
4.5148895500e-01,3.1422629500e+10,4.4965412900e+06,2.2483045000e+00,7.1136587000e-01,1.9627588900e-02,6.3826202900e+00,3.8518020900e+33
4.5324186100e-01,3.1544627800e+10,4.4768346900e+06,2.2067168900e+00,7.1141484300e-01,1.9625479000e-02,6.4290765500e+00,3.8518001700e+33
4.5499721100e-01,3.1666796300e+10,4.4572183200e+06,2.1658962000e+00,7.1146367200e-01,1.9623400600e-02,6.4758959400e+00,3.8517981600e+33
4.5675501900e-01,3.1789135800e+10,4.4376912700e+06,2.1258284800e+00,7.1151235800e-01,1.9621348800e-02,6.5230804200e+00,3.8517960700e+33
4.5851529400e-01,3.1911647100e+10,4.4182526900e+06,2.0865000500e+00,7.1156090200e-01,1.9619319700e-02,6.5706322500e+00,3.8517939000e+33
4.6027804900e-01,3.2034330900e+10,4.3989017100e+06,2.0478974700e+00,7.1160930500e-01,1.9617308000e-02,6.6185532900e+00,3.8517916600e+33
4.6204329500e-01,3.2157188100e+10,4.3796374800e+06,2.0100075500e+00,7.1165757600e-01,1.9615300800e-02,6.6668433600e+00,3.8517893600e+33
4.6381104100e-01,3.2280219300e+10,4.3604591600e+06,1.9728173100e+00,7.1170571700e-01,1.9613260300e-02,6.7154957600e+00,3.8517869900e+33
4.6558128900e-01,3.2403424600e+10,4.3413659300e+06,1.9363335600e+00,7.1175377700e-01,1.9611208700e-02,6.7645442700e+00,3.8517845800e+33
4.6735404900e-01,3.2526804800e+10,4.3223569300e+06,1.9005046000e+00,7.1180171600e-01,1.9609192000e-02,6.8139544700e+00,3.8517821100e+33
4.6912933900e-01,3.2650361100e+10,4.3034313800e+06,1.8653379900e+00,7.1184944200e-01,1.9607207300e-02,6.8637535700e+00,3.8517796000e+33
4.7090716900e-01,3.2774094000e+10,4.2845872300e+06,1.8308219700e+00,7.1189713800e-01,1.9605274100e-02,6.9148143100e+00,3.8517770400e+33
4.7268754500e-01,3.2898004300e+10,4.2658236600e+06,1.7969446600e+00,7.1194484700e-01,1.9603344900e-02,6.9654127300e+00,3.8517744600e+33
4.7447047800e-01,3.3022092500e+10,4.2471410300e+06,1.7636942400e+00,7.1199242300e-01,1.9601382900e-02,7.0163939300e+00,3.8517718300e+33
4.7625597300e-01,3.3146359000e+10,4.2285385500e+06,1.7310600400e+00,7.1203986400e-01,1.9599429500e-02,7.0677734000e+00,3.8517691800e+33
4.7804403900e-01,3.3270804400e+10,4.2100154100e+06,1.6990308700e+00,7.1208718300e-01,1.9597495500e-02,7.1195578000e+00,3.8517665000e+33
4.7983468100e-01,3.3395429100e+10,4.1915708100e+06,1.6675955900e+00,7.1213438700e-01,1.9595585500e-02,7.1717520300e+00,3.8517638000e+33
4.8162790500e-01,3.3520233500e+10,4.1732039500e+06,1.6367432800e+00,7.1218148200e-01,1.9593687100e-02,7.2243563500e+00,3.8517610800e+33
4.8342371800e-01,3.3645218100e+10,4.1549140600e+06,1.6064632100e+00,7.1222846700e-01,1.9591778600e-02,7.2773681800e+00,3.8517583400e+33
4.8522212400e-01,3.3770383200e+10,4.1367003500e+06,1.5767448700e+00,7.1227534500e-01,1.9589874400e-02,7.3307951600e+00,3.8517555900e+33
4.8702312900e-01,3.3895729100e+10,4.1185620400e+06,1.5475779500e+00,7.1232211700e-01,1.9587999300e-02,7.3846481600e+00,3.8517528200e+33
4.8882673700e-01,3.4021256200e+10,4.1004983300e+06,1.5189523100e+00,7.1236878800e-01,1.9586180400e-02,7.4389390900e+00,3.8517500400e+33
4.9063295300e-01,3.4146964900e+10,4.0825084100e+06,1.4908580500e+00,7.1241536300e-01,1.9584430000e-02,7.4936760900e+00,3.8517472600e+33
4.9244178100e-01,3.4272855300e+10,4.0645914700e+06,1.4632854100e+00,7.1246184800e-01,1.9582750200e-02,7.5488644500e+00,3.8517444700e+33
4.9425322400e-01,3.4398927700e+10,4.0467467100e+06,1.4362248400e+00,7.1250824800e-01,1.9581131900e-02,7.6045062300e+00,3.8517416800e+33
4.9606728600e-01,3.4525182400e+10,4.0289733100e+06,1.4096669500e+00,7.1255456200e-01,1.9579566600e-02,7.6606037400e+00,3.8517388800e+33
4.9788396900e-01,3.4651619500e+10,4.0112705000e+06,1.3836025500e+00,7.1260079000e-01,1.9578052900e-02,7.7171613300e+00,3.8517360900e+33
4.9970327500e-01,3.4778239200e+10,3.9936374800e+06,1.3580225500e+00,7.1264693100e-01,1.9576566000e-02,7.7741762500e+00,3.8517333000e+33
5.0152520800e-01,3.4905041600e+10,3.9760733400e+06,1.3329177400e+00,7.1269300600e-01,1.9575007500e-02,7.8317805700e+00,3.8517305100e+33
5.0334976800e-01,3.5032027000e+10,3.9585767700e+06,1.3082798400e+00,7.1273908900e-01,1.9573310400e-02,7.8902003200e+00,3.8517277200e+33
5.0517695700e-01,3.5159195200e+10,3.9411466400e+06,1.2841006700e+00,7.1278522600e-01,1.9571553100e-02,7.9490796000e+00,3.8517249400e+33
5.0700677300e-01,3.5286546400e+10,3.9237822000e+06,1.2603717900e+00,7.1283141000e-01,1.9569797300e-02,8.0084410800e+00,3.8517221700e+33
5.0883921700e-01,3.5414080500e+10,3.9064826600e+06,1.2370848900e+00,7.1287763600e-01,1.9568063800e-02,8.0682954200e+00,3.8517194000e+33
5.1067428800e-01,3.5541797300e+10,3.8892472500e+06,1.2142318400e+00,7.1292389600e-01,1.9566360100e-02,8.1286493500e+00,3.8517166500e+33
5.1251198500e-01,3.5669696900e+10,3.8720751800e+06,1.1918046500e+00,7.1297018800e-01,1.9564686000e-02,8.1895073200e+00,3.8517139000e+33
5.1435230500e-01,3.5797779100e+10,3.8549656700e+06,1.1697954900e+00,7.1301650300e-01,1.9563036500e-02,8.2508724200e+00,3.8517111700e+33
5.1619524600e-01,3.5926043700e+10,3.8379179300e+06,1.1481966600e+00,7.1306283700e-01,1.9561406500e-02,8.3127475000e+00,3.8517084500e+33
5.1804080500e-01,3.6054490600e+10,3.8209312100e+06,1.1270006400e+00,7.1310918100e-01,1.9559793700e-02,8.3751365800e+00,3.8517057400e+33
5.1988897900e-01,3.6183119400e+10,3.8040047200e+06,1.1062000000e+00,7.1315552800e-01,1.9558201500e-02,8.4380455800e+00,3.8517030400e+33
5.2173976400e-01,3.6311929900e+10,3.7871376900e+06,1.0857874800e+00,7.1320187000e-01,1.9556632500e-02,8.5014802200e+00,3.8517003600e+33
5.2359315600e-01,3.6440921800e+10,3.7703293500e+06,1.0657559500e+00,7.1324819700e-01,1.9555072500e-02,8.5654407800e+00,3.8516977000e+33
5.2544914800e-01,3.6570094800e+10,3.7535789500e+06,1.0460984000e+00,7.1329449800e-01,1.9553504700e-02,8.6299265700e+00,3.8516950500e+33
5.2730773700e-01,3.6699448400e+10,3.7368857200e+06,1.0268079700e+00,7.1334076200e-01,1.9551962900e-02,8.6949540700e+00,3.8516924200e+33
5.2916891500e-01,3.6828982300e+10,3.7202488700e+06,1.0078779100e+00,7.1338698000e-01,1.9550500500e-02,8.7605473500e+00,3.8516898000e+33
5.3103267500e-01,3.6958695900e+10,3.7036675900e+06,9.8930168800e-01,7.1343314400e-01,1.9549092300e-02,8.8267042300e+00,3.8516872000e+33
5.3289901000e-01,3.7088588700e+10,3.6871411100e+06,9.7107317600e-01,7.1347924600e-01,1.9547653800e-02,8.8934024700e+00,3.8516846200e+33
5.3476791000e-01,3.7218660000e+10,3.6706687000e+06,9.5318594800e-01,7.1352527100e-01,1.9546123500e-02,8.9606253600e+00,3.8516820600e+33
5.3663936700e-01,3.7348909200e+10,3.6542496500e+06,9.3563365500e-01,7.1357120300e-01,1.9544512400e-02,9.0283812200e+00,3.8516795100e+33
5.3851336900e-01,3.7479335600e+10,3.6378832300e+06,9.1841007800e-01,7.1361702600e-01,1.9542893500e-02,9.0967010300e+00,3.8516769800e+33
5.4038990600e-01,3.7609938400e+10,3.6215686300e+06,9.0150912100e-01,7.1366273200e-01,1.9541355100e-02,9.1656226600e+00,3.8516744800e+33
5.4226896700e-01,3.7740716900e+10,3.6053050300e+06,8.8492481500e-01,7.1370831700e-01,1.9539907300e-02,9.2351571800e+00,3.8516719900e+33
5.4415054000e-01,3.7871670200e+10,3.5890916000e+06,8.6865130100e-01,7.1375377600e-01,1.9538545100e-02,9.3053102700e+00,3.8516695200e+33
5.4603461100e-01,3.8002797400e+10,3.5729274900e+06,8.5268283600e-01,7.1379910100e-01,1.9537262900e-02,9.3760877900e+00,3.8516670700e+33
5.4792116800e-01,3.8134097500e+10,3.5568118800e+06,8.3701378300e-01,7.1384427900e-01,1.9536041100e-02,9.4474903800e+00,3.8516646500e+33
5.4981019700e-01,3.8265569700e+10,3.5407439300e+06,8.2163861300e-01,7.1388929700e-01,1.9534867200e-02,9.5195212900e+00,3.8516622400e+33
5.5170168200e-01,3.8397212900e+10,3.5247228300e+06,8.0655190100e-01,7.1393413400e-01,1.9533720800e-02,9.5921808800e+00,3.8516598500e+33
5.5359560900e-01,3.8529026000e+10,3.5087477400e+06,7.9174832400e-01,7.1397876700e-01,1.9532591700e-02,9.6654733400e+00,3.8516574800e+33
5.5549195900e-01,3.8661007800e+10,3.4928178400e+06,7.7722262700e-01,7.1402317000e-01,1.9531510500e-02,9.7394184900e+00,3.8516551400e+33
5.5739071800e-01,3.8793157200e+10,3.4769322700e+06,7.6296946200e-01,7.1406731300e-01,1.9530503400e-02,9.8140344500e+00,3.8516528100e+33
5.5929186700e-01,3.8925473000e+10,3.4610901700e+06,7.4898379200e-01,7.1411116000e-01,1.9529540600e-02,9.8893190000e+00,3.8516505100e+33
5.6119538800e-01,3.9057953800e+10,3.4452906700e+06,7.3526093000e-01,7.1415467300e-01,1.9528603800e-02,9.9652757500e+00,3.8516482200e+33
5.6310126200e-01,3.9190598300e+10,3.4295329000e+06,7.2179619100e-01,7.1419781300e-01,1.9527706700e-02,1.0041920700e+01,3.8516459600e+33
5.6500946600e-01,3.9323405100e+10,3.4138159900e+06,7.0858479700e-01,7.1424054200e-01,1.9526857300e-02,1.0119267400e+01,3.8516437200e+33
5.6691998000e-01,3.9456372700e+10,3.3981390200e+06,6.9562206700e-01,7.1428282300e-01,1.9526071800e-02,1.0197333300e+01,3.8516414900e+33
5.6883278000e-01,3.9589499300e+10,3.3825010600e+06,6.8290341100e-01,7.1432461400e-01,1.9525386500e-02,1.0276144600e+01,3.8516392900e+33
