radius_fraction,radius_cm,temperature_k,density_g_cm3,hydrogen_fraction,metal_fraction,opacity_cm2_g,luminosity_erg_s
2.7190991100e-03,1.8924326400e+08,1.5717768000e+07,1.5312978500e+02,3.3557044500e-01,2.1045891100e-02,1.2695094200e+00,7.5434004600e+28
2.8255031500e-03,1.9664875000e+08,1.5717558400e+07,1.5312257100e+02,3.3558979800e-01,2.1045856600e-02,1.2695298900e+00,8.4635887300e+28
2.9360732200e-03,2.0434418100e+08,1.5717332000e+07,1.5311478100e+02,3.3561069400e-01,2.1045819300e-02,1.2695520000e+00,9.4960025200e+28
3.0509726900e-03,2.1234093000e+08,1.5717087600e+07,1.5310637100e+02,3.3563325600e-01,2.1045779100e-02,1.2695758700e+00,1.0654323900e+29
3.1703713900e-03,2.2065081400e+08,1.5716823700e+07,1.5309729000e+02,3.3565761700e-01,2.1045735700e-02,1.2696016500e+00,1.1953902000e+29
3.2944458300e-03,2.2928612000e+08,1.5716538700e+07,1.5308748600e+02,3.3568392000e-01,2.1045688900e-02,1.2696294800e+00,1.3411955900e+29
3.4233795000e-03,2.3825961700e+08,1.5716231000e+07,1.5307690100e+02,3.3571232000e-01,2.1045638300e-02,1.2696595400e+00,1.5047802000e+29
3.5573631300e-03,2.4758458000e+08,1.5715898800e+07,1.5306547200e+02,3.3574298400e-01,2.1045583600e-02,1.2696919900e+00,1.6883109400e+29
3.6965950000e-03,2.5727480900e+08,1.5715540000e+07,1.5305313400e+02,3.3577609200e-01,2.1045524600e-02,1.2697270300e+00,1.8942186200e+29
3.8412812100e-03,2.6734464900e+08,1.5715152700e+07,1.5303981200e+02,3.3581183800e-01,2.1045460900e-02,1.2697648600e+00,2.1252300000e+29
3.9916360500e-03,2.7780901200e+08,1.5714734400e+07,1.5302543000e+02,3.3585043400e-01,2.1045392100e-02,1.2698057100e+00,2.3844037700e+29
4.1478822700e-03,2.8868340200e+08,1.5714282800e+07,1.5300990300e+02,3.3589210500e-01,2.1045317800e-02,1.2698498300e+00,2.6751709400e+29
4.3102514800e-03,2.9998393900e+08,1.5713795200e+07,1.5299314000e+02,3.3593709700e-01,2.1045237600e-02,1.2698974600e+00,3.0013800100e+29
4.4789844900e-03,3.1172738200e+08,1.5713268700e+07,1.5297504300e+02,3.3598567400e-01,2.1045151000e-02,1.2699488800e+00,3.3673477300e+29
4.6543316600e-03,3.2393115600e+08,1.5712700200e+07,1.5295550500e+02,3.3603812100e-01,2.1045057500e-02,1.2700044200e+00,3.7779158700e+29
4.8365533300e-03,3.3661338000e+08,1.5712086400e+07,1.5293441300e+02,3.3609474600e-01,2.1044956500e-02,1.2700643800e+00,4.2385150400e+29
5.0259202200e-03,3.4979289500e+08,1.5711423700e+07,1.5291164400e+02,3.3615588200e-01,2.1044847500e-02,1.2701291200e+00,4.7552360100e+29
5.2227138500e-03,3.6348929500e+08,1.5710708100e+07,1.5288706300e+02,3.3622188600e-01,2.1044729800e-02,1.2701990300e+00,5.3349098000e+29
5.4272270100e-03,3.7772295800e+08,1.5709935400e+07,1.5286052900e+02,3.3629314700e-01,2.1044602700e-02,1.2702745200e+00,5.9851974000e+29
5.6397642100e-03,3.9251507500e+08,1.5709101200e+07,1.5283188500e+02,3.3637008100e-01,2.1044465500e-02,1.2703560200e+00,6.7146902600e+29
5.8606421600e-03,4.0788769000e+08,1.5708200400e+07,1.5280096500e+02,3.3645314000e-01,2.1044316500e-02,1.2704440000e+00,7.5330228800e+29
6.0901903300e-03,4.2386373400e+08,1.5707227900e+07,1.5276758900e+02,3.3654281000e-01,2.1044156000e-02,1.2705390200e+00,8.4509990600e+29
6.3287514500e-03,4.4046705800e+08,1.5706177800e+07,1.5273156300e+02,3.3663961600e-01,2.1043983200e-02,1.2706416200e+00,9.4807331800e+29
6.5766821000e-03,4.5772248100e+08,1.5705044000e+07,1.5269267600e+02,3.3674412400e-01,2.1043796400e-02,1.2707524000e+00,1.0635808500e+30
6.8343532700e-03,4.7565582300e+08,1.5703819900e+07,1.5265070500e+02,3.3685694600e-01,2.1043594800e-02,1.2708720200e+00,1.1931454500e+30
7.1021510400e-03,4.9429395300e+08,1.5702498100e+07,1.5260540400e+02,3.3697874100e-01,2.1043377100e-02,1.2710011800e+00,1.3384745200e+30
7.3804771700e-03,5.1366483500e+08,1.5701071100e+07,1.5255651200e+02,3.3711021900e-01,2.1043142000e-02,1.2711406400e+00,1.5014821700e+30
7.6697498500e-03,5.3379757100e+08,1.5699530300e+07,1.5250374600e+02,3.3725214900e-01,2.1042888100e-02,1.2712912200e+00,1.6843140300e+30
7.9704043700e-03,5.5472245900e+08,1.5697866800e+07,1.5244680100e+02,3.3740535800e-01,2.1042614100e-02,1.2714538200e+00,1.8893751700e+30
8.2828939300e-03,5.7647103900e+08,1.5696070800e+07,1.5238534800e+02,3.3757073800e-01,2.1042318200e-02,1.2716293700e+00,2.1193611600e+30
8.6076904200e-03,5.9907615400e+08,1.5694131700e+07,1.5231903500e+02,3.3774925100e-01,2.1041998700e-02,1.2718189300e+00,2.3772929300e+30
8.9452852700e-03,6.2257200700e+08,1.5692038100e+07,1.5224748000e+02,3.3794193700e-01,2.1041653700e-02,1.2720236000e+00,2.6665557700e+30
9.2961903600e-03,6.4699422200e+08,1.5689777800e+07,1.5217027300e+02,3.3814991300e-01,2.1041281200e-02,1.2722446000e+00,2.9909427900e+30
9.6609389300e-03,6.7237991300e+08,1.5687337500e+07,1.5208697200e+02,3.3837438600e-01,2.1040879100e-02,1.2724832200e+00,3.3547036900e+30
1.0040086600e-02,6.9876775300e+08,1.5684702900e+07,1.5199710300e+02,3.3861665700e-01,2.1040444900e-02,1.2727408600e+00,3.7625990700e+30
1.0434212600e-02,7.2619804500e+08,1.5681858600e+07,1.5190015300e+02,3.3887812700e-01,2.1039976100e-02,1.2730190500e+00,4.2199612200e+30
1.0843920500e-02,7.5471280600e+08,1.5678787900e+07,1.5179557200e+02,3.3916030700e-01,2.1039470000e-02,1.2733194100e+00,4.7327618900e+30
1.1269839800e-02,7.8435584300e+08,1.5675472800e+07,1.5168276800e+02,3.3946482400e-01,2.1038923500e-02,1.2736437300e+00,5.3076880300e+30
1.1712627000e-02,8.1517284800e+08,1.5671894000e+07,1.5156110600e+02,3.3979343100e-01,2.1038333500e-02,1.2739939000e+00,5.9522261900e+30
1.2172967000e-02,8.4721148900e+08,1.5668030500e+07,1.5142990200e+02,3.4014801800e-01,2.1037696500e-02,1.2743719800e+00,6.6747566600e+30
1.2651574500e-02,8.8052151200e+08,1.5663859800e+07,1.5128842100e+02,3.4053061600e-01,2.1037008800e-02,1.2747802100e+00,7.4846584100e+30
1.3149195700e-02,9.1515484500e+08,1.5659357400e+07,1.5113587400e+02,3.4094341600e-01,2.1036266300e-02,1.2752209700e+00,8.3924258700e+30
1.3666609800e-02,9.5116571600e+08,1.5654497100e+07,1.5097141400e+02,3.4138877400e-01,2.1035464700e-02,1.2756968700e+00,9.4097990500e+30
1.4204630600e-02,9.8861077400e+08,1.5649250700e+07,1.5079413400e+02,3.4186922500e-01,2.1034599300e-02,1.2762107000e+00,1.0549908200e+31
1.4764108900e-02,1.0275492200e+09,1.5643587500e+07,1.5060305900e+02,3.4238749800e-01,2.1033665000e-02,1.2767654700e+00,1.1827434500e+31
1.5345933900e-02,1.0680429500e+09,1.5637474500e+07,1.5039714600e+02,3.4294652500e-01,2.1032656500e-02,1.2773644600e+00,1.3258788900e+31
1.5951035700e-02,1.1101566900e+09,1.5630876300e+07,1.5017527600e+02,3.4354946000e-01,2.1031567700e-02,1.2780111900e+00,1.4862309700e+31
1.6580387900e-02,1.1539582100e+09,1.5623754500e+07,1.4993625300e+02,3.4419969400e-01,2.1030392300e-02,1.2787094400e+00,1.6658482900e+31
1.7235009400e-02,1.1995184100e+09,1.5616067700e+07,1.4967879600e+02,3.4490086600e-01,2.1029123500e-02,1.2794633300e+00,1.8670185000e+31
1.7915967800e-02,1.2469116100e+09,1.5607771600e+07,1.4940153800e+02,3.4565688700e-01,2.1027753900e-02,1.2802772800e+00,2.0922951700e+31
